date,start_time,end_time,activity_id,activity_name,original_activity_name,activity_type,priority,occurrence_number,frequency_period,duration_minutes,facilitator,facilitator_role,equipment,location,mode,status,details,prep_required,metrics_to_collect,if_skipped_adjustment,notes
2026-06-23,12:30,12:50,ACT057,Mediterranean Lunch #057,Mediterranean Lunch #057,Food consumption,57,1,week,20,Self,Self,,Online,remote,scheduled,"Vegetables, lean protein, olive oil, and whole grains",Prepare or order the meal according to the assigned nutrition guideline.,"calories, fiber_g, protein_g",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-23,17:00,17:15,ACT063,Magnesium Glycinate #063,Magnesium Glycinate #063,Medication consumption,63,1,week,15,Self,Self,,Online,remote,scheduled,Take 60 minutes before bedtime,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, sleep_quality, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-23,17:15,18:00,ACT067,Low-Glycemic Dinner #067,Low-Glycemic Dinner #067,Food consumption,67,1,week,45,Self,Self,,Online,remote,scheduled,Control evening carbohydrate load,Prepare or order the meal according to the assigned nutrition guideline.,"carbs_g, glucose_response, sleep_quality",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-23,18:00,18:45,ACT072,Fermented Food Serving #072,Fermented Food Serving #072,Food consumption,72,1,week,45,Self,Self,,Online,remote,scheduled,"Add yogurt, kimchi, kefir, or sauerkraut",Prepare or order the meal according to the assigned nutrition guideline.,"serving_size, GI_comfort_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-23,18:45,19:00,ACT091,Eye Exercise #091,Eye Exercise #091,Fitness routine / exercise,91,1,week,15,Fitness Trainer 1,Fitness Trainer,,Online,remote,scheduled,Near-far focus drill and 20-20-20 visual breaks,"Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, eye_strain_score",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,06:00,07:00,ACT031,Strength Training #031,Strength Training #031,Fitness routine / exercise,31,2,week,60,Fitness Trainer 1,Fitness Trainer,"Dumbbells, Resistance Bands",Gym,in_person,scheduled,Full-body resistance session with controlled tempo,"Wear appropriate training clothes, prepare water, and confirm recovery status.","sets, reps, load, RPE",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,07:00,08:00,ACT031,Strength Training #031,Strength Training #031,Fitness routine / exercise,31,1,week,60,Fitness Trainer 1,Fitness Trainer,"Dumbbells, Resistance Bands",Gym,in_person,scheduled,Full-body resistance session with controlled tempo,"Wear appropriate training clothes, prepare water, and confirm recovery status.","sets, reps, load, RPE",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,08:00,08:45,ACT056,Strength Training #056,Strength Training #056,Fitness routine / exercise,56,2,week,45,Fitness Trainer 1,Fitness Trainer,"Dumbbells, Resistance Bands",Gym,in_person,scheduled,Full-body resistance session with controlled tempo,"Wear appropriate training clothes, prepare water, and confirm recovery status.","sets, reps, load, RPE",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,08:45,09:00,ACT071,Brisk Walk #071,Brisk Walk #071,Fitness routine / exercise,71,2,week,15,Fitness Trainer 1,Fitness Trainer,,Park,in_person,scheduled,Low-intensity walk after meals,"Wear appropriate training clothes, prepare water, and confirm recovery status.","steps, duration, glucose_response",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,17:00,17:15,ACT011,Mobility Flow #011,Mobility Flow #011,Fitness routine / exercise,11,2,week,15,Fitness Trainer 1,Fitness Trainer,Yoga Mat,Home,in_person,scheduled,"Hip, ankle, thoracic spine, and shoulder mobility","Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, pain_score, range_of_motion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,17:15,17:30,ACT011,Mobility Flow #011,Mobility Flow #011,Fitness routine / exercise,11,1,week,15,Fitness Trainer 1,Fitness Trainer,Yoga Mat,Home,in_person,scheduled,"Hip, ankle, thoracic spine, and shoulder mobility","Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, pain_score, range_of_motion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-24,17:30,18:00,ACT044,Guided Meditation #044,Guided Meditation #044,Therapy,44,1,week,30,Health Coach 3,Health Coach,,Home,in_person,scheduled,Mindfulness session with body scan,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, mood_score, sleep_quality",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-24,18:00,18:45,ACT049,Recovery Stretch #049,Recovery Stretch #049,Therapy,49,1,week,45,Health Coach 3,Health Coach,Yoga Mat,Home,in_person,scheduled,Parasympathetic evening stretch routine,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, muscle_tightness_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-24,18:45,19:30,ACT054,Sauna Session #054,Sauna Session #054,Therapy,54,1,week,45,Health Coach 3,Health Coach,Sauna,Wellness Center,in_person,scheduled,15-20 minutes moderate heat exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, recovery_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-24,19:30,20:00,ACT069,Guided Meditation #069,Guided Meditation #069,Therapy,69,1,week,30,Health Coach 3,Health Coach,,Home,in_person,scheduled,Mindfulness session with body scan,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, mood_score, sleep_quality",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-25,06:00,06:45,ACT036,Mobility Flow #036,Mobility Flow #036,Fitness routine / exercise,36,1,week,45,Fitness Trainer 1,Fitness Trainer,Yoga Mat,Home,in_person,scheduled,"Hip, ankle, thoracic spine, and shoulder mobility","Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, pain_score, range_of_motion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-25,06:45,07:30,ACT046,Brisk Walk #046,Brisk Walk #046,Fitness routine / exercise,46,1,week,45,Fitness Trainer 1,Fitness Trainer,,Park,in_person,scheduled,Low-intensity walk after meals,"Wear appropriate training clothes, prepare water, and confirm recovery status.","steps, duration, glucose_response",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-25,07:30,08:30,ACT051,Zone 2 Run #051,Zone 2 Run #051,Fitness routine / exercise,51,1,week,60,Fitness Trainer 1,Fitness Trainer,Treadmill,Park,in_person,scheduled,Maintain heart rate between 120-140 bpm,"Wear appropriate training clothes, prepare water, and confirm recovery status.","heart_rate, duration, perceived_exertion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-25,08:30,08:45,ACT071,Brisk Walk #071,Brisk Walk #071,Fitness routine / exercise,71,1,week,15,Fitness Trainer 1,Fitness Trainer,,Park,in_person,scheduled,Low-intensity walk after meals,"Wear appropriate training clothes, prepare water, and confirm recovery status.","steps, duration, glucose_response",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-25,08:45,09:30,ACT077,High-Protein Breakfast #077,High-Protein Breakfast #077,Food consumption,77,1,week,45,Self,Self,,Home,in_person,scheduled,Consume 30-40g protein within 2 hours of waking,Prepare or order the meal according to the assigned nutrition guideline.,"protein_g, calories, satiety_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-25,09:30,09:45,ACT093,Glucose Monitor Check #093,Glucose Monitor Check #093,Medication consumption,93,1,week,15,Self,Self,Glucose Meter,Home,in_person,scheduled,Record fasting glucose and notes,"Confirm dose, timing, and any meal requirement before taking it.","glucose_mg_dL, fasting_hours",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-25,09:45,09:55,ACT098,Blood Pressure Reading #098,Blood Pressure Reading #098,Medication consumption,98,1,week,10,Self,Self,Blood Pressure Cuff,Home,in_person,scheduled,Measure seated blood pressure after 5 minutes rest,"Confirm dose, timing, and any meal requirement before taking it.","systolic, diastolic, resting_hr",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-25,12:00,12:45,ACT087,Hydration Protocol #087,Hydration Protocol #087,Food consumption,87,1,week,45,Self,Self,,Home,in_person,scheduled,Drink 500ml water with electrolytes,Prepare or order the meal according to the assigned nutrition guideline.,"water_ml, electrolyte_serving",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-25,12:45,13:30,ACT092,Low-Glycemic Dinner #092,Low-Glycemic Dinner #092,Food consumption,92,1,week,45,Self,Self,,Home,in_person,scheduled,Control evening carbohydrate load,Prepare or order the meal according to the assigned nutrition guideline.,"carbs_g, glucose_response, sleep_quality",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-25,17:00,17:45,ACT019,Guided Meditation #019,Guided Meditation #019,Therapy,19,1,week,45,Health Coach 3,Health Coach,,Home,in_person,scheduled,Mindfulness session with body scan,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, mood_score, sleep_quality",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-25,17:45,18:30,ACT024,Recovery Stretch #024,Recovery Stretch #024,Therapy,24,1,week,45,Health Coach 3,Health Coach,Yoga Mat,Home,in_person,scheduled,Parasympathetic evening stretch routine,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, muscle_tightness_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-25,18:30,19:15,ACT039,Breathwork #039,Breathwork #039,Therapy,39,1,week,45,Health Coach 3,Health Coach,,Home,in_person,scheduled,Box breathing or physiological sigh protocol,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, stress_score, HRV",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-25,19:15,19:35,ACT042,Low-Glycemic Dinner #042,Low-Glycemic Dinner #042,Food consumption,42,1,week,20,Self,Self,,Home,in_person,scheduled,Control evening carbohydrate load,Prepare or order the meal according to the assigned nutrition guideline.,"carbs_g, glucose_response, sleep_quality",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-25,19:45,20:15,ACT074,Breathwork,Recovery Stretch #074,Therapy,74,1,week,30,Self,Self,,Home,in_person,backup_used,Parasympathetic evening stretch routine,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, muscle_tightness_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity unavailable. Used backup: Breathwork.
2026-06-25,20:15,21:00,ACT084,Cold Plunge #084,Cold Plunge #084,Therapy,84,1,week,45,Self,Self,Cold Plunge,Wellness Center,in_person,scheduled,2-3 minutes controlled cold exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, stress_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-26,06:00,06:45,ACT001,Zone 2 Run #001,Zone 2 Run #001,Fitness routine / exercise,1,1,week,45,Fitness Trainer 1,Fitness Trainer,Treadmill,Park,in_person,scheduled,Maintain heart rate between 120-140 bpm,"Wear appropriate training clothes, prepare water, and confirm recovery status.","heart_rate, duration, perceived_exertion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-26,06:45,06:55,ACT003,Omega-3 Supplement #003,Omega-3 Supplement #003,Medication consumption,3,1,week,10,Self,Self,,Home,in_person,scheduled,Take after meal to improve tolerance,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,07:00,08:00,ACT006,Strength Training #006,Strength Training #006,Fitness routine / exercise,6,1,week,60,Fitness Trainer 1,Fitness Trainer,"Dumbbells, Resistance Bands",Gym,in_person,scheduled,Full-body resistance session with controlled tempo,"Wear appropriate training clothes, prepare water, and confirm recovery status.","sets, reps, load, RPE",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-26,08:00,08:10,ACT008,Vitamin D3 #008,Vitamin D3 #008,Medication consumption,8,1,week,10,Self,Self,,Home,in_person,scheduled,Take with fat-containing meal,"Confirm dose, timing, and any meal requirement before taking it.","dose_IU, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,08:15,08:45,ACT016,Eye Exercise #016,Eye Exercise #016,Fitness routine / exercise,16,1,week,30,Fitness Trainer 1,Fitness Trainer,,Home,in_person,scheduled,Near-far focus drill and 20-20-20 visual breaks,"Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, eye_strain_score",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-26,08:45,09:00,ACT018,Glucose Monitor Check #018,Glucose Monitor Check #018,Medication consumption,18,1,week,15,Self,Self,Glucose Meter,Home,in_person,scheduled,Record fasting glucose and notes,"Confirm dose, timing, and any meal requirement before taking it.","glucose_mg_dL, fasting_hours",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,09:00,09:30,ACT022,Fermented Food Serving #022,Fermented Food Serving #022,Food consumption,22,1,week,30,Self,Self,,Home,in_person,scheduled,"Add yogurt, kimchi, kefir, or sauerkraut",Prepare or order the meal according to the assigned nutrition guideline.,"serving_size, GI_comfort_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-26,09:30,09:45,ACT023,Blood Pressure Reading #023,Blood Pressure Reading #023,Medication consumption,23,1,week,15,Self,Self,Blood Pressure Cuff,Home,in_person,scheduled,Measure seated blood pressure after 5 minutes rest,"Confirm dose, timing, and any meal requirement before taking it.","systolic, diastolic, resting_hr",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,09:45,09:55,ACT028,Omega-3 Supplement #028,Omega-3 Supplement #028,Medication consumption,28,1,week,10,Self,Self,,Home,in_person,scheduled,Take after meal to improve tolerance,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,12:00,12:20,ACT007,Mediterranean Lunch #007,Mediterranean Lunch #007,Food consumption,7,1,week,20,Self,Self,,Home,in_person,scheduled,"Vegetables, lean protein, olive oil, and whole grains",Prepare or order the meal according to the assigned nutrition guideline.,"calories, fiber_g, protein_g",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-26,12:30,13:00,ACT027,High-Protein Breakfast #027,High-Protein Breakfast #027,Food consumption,27,1,week,30,Self,Self,,Home,in_person,scheduled,Consume 30-40g protein within 2 hours of waking,Prepare or order the meal according to the assigned nutrition guideline.,"protein_g, calories, satiety_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-26,13:00,13:15,ACT033,Vitamin D3 #033,Vitamin D3 #033,Medication consumption,33,1,week,15,Self,Self,,Home,in_person,scheduled,Take with fat-containing meal,"Confirm dose, timing, and any meal requirement before taking it.","dose_IU, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,13:15,13:30,ACT038,Magnesium Glycinate #038,Magnesium Glycinate #038,Medication consumption,38,1,week,15,Self,Self,,Home,in_person,scheduled,Take 60 minutes before bedtime,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, sleep_quality, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,17:00,17:45,ACT004,Sauna Session #004,Sauna Session #004,Therapy,4,1,week,45,Self,Self,Sauna,Wellness Center,in_person,scheduled,15-20 minutes moderate heat exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, recovery_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-26,17:45,18:30,ACT009,Cold Plunge #009,Cold Plunge #009,Therapy,9,1,week,45,Self,Self,Cold Plunge,Wellness Center,in_person,scheduled,2-3 minutes controlled cold exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, stress_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-26,18:30,18:45,ACT013,Magnesium Glycinate #013,Magnesium Glycinate #013,Medication consumption,13,1,week,15,Self,Self,,Home,in_person,scheduled,Take 60 minutes before bedtime,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, sleep_quality, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-26,18:45,19:15,ACT014,Breathwork #014,Breathwork #014,Therapy,14,1,week,30,Health Coach 3,Health Coach,,Home,in_person,scheduled,Box breathing or physiological sigh protocol,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, stress_score, HRV",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-26,19:15,19:45,ACT017,Low-Glycemic Dinner #017,Low-Glycemic Dinner #017,Food consumption,17,1,week,30,Self,Self,,Home,in_person,scheduled,Control evening carbohydrate load,Prepare or order the meal according to the assigned nutrition guideline.,"carbs_g, glucose_response, sleep_quality",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-26,19:45,20:15,ACT029,Sauna Session #029,Sauna Session #029,Therapy,29,1,week,30,Self,Self,Sauna,Wellness Center,in_person,scheduled,15-20 minutes moderate heat exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, recovery_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-26,20:15,21:00,ACT034,Cold Plunge #034,Cold Plunge #034,Therapy,34,1,week,45,Self,Self,Cold Plunge,Wellness Center,in_person,scheduled,2-3 minutes controlled cold exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, stress_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-27,08:00,08:45,ACT026,Zone 2 Run #026,Zone 2 Run #026,Fitness routine / exercise,26,1,week,45,Fitness Trainer 1,Fitness Trainer,Treadmill,Park,in_person,scheduled,Maintain heart rate between 120-140 bpm,"Wear appropriate training clothes, prepare water, and confirm recovery status.","heart_rate, duration, perceived_exertion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-27,08:45,09:05,ACT037,Hydration Protocol #037,Hydration Protocol #037,Food consumption,37,1,week,20,Self,Self,,Home,in_person,scheduled,Drink 500ml water with electrolytes,Prepare or order the meal according to the assigned nutrition guideline.,"water_ml, electrolyte_serving",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-27,09:15,09:30,ACT043,Glucose Monitor Check #043,Glucose Monitor Check #043,Medication consumption,43,1,week,15,Self,Self,Glucose Meter,Home,in_person,scheduled,Record fasting glucose and notes,"Confirm dose, timing, and any meal requirement before taking it.","glucose_mg_dL, fasting_hours",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-27,09:30,10:15,ACT052,High-Protein Breakfast #052,High-Protein Breakfast #052,Food consumption,52,1,week,45,Self,Self,,Home,in_person,scheduled,Consume 30-40g protein within 2 hours of waking,Prepare or order the meal according to the assigned nutrition guideline.,"protein_g, calories, satiety_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-27,10:15,10:25,ACT058,Vitamin D3 #058,Vitamin D3 #058,Medication consumption,58,1,week,10,Self,Self,,Home,in_person,scheduled,Take with fat-containing meal,"Confirm dose, timing, and any meal requirement before taking it.","dose_IU, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-27,10:30,10:40,ACT068,Glucose Monitor Check #068,Glucose Monitor Check #068,Medication consumption,68,1,week,10,Self,Self,Glucose Meter,Home,in_person,scheduled,Record fasting glucose and notes,"Confirm dose, timing, and any meal requirement before taking it.","glucose_mg_dL, fasting_hours",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-27,10:45,10:55,ACT073,Blood Pressure Reading #073,Blood Pressure Reading #073,Medication consumption,73,1,week,10,Self,Self,Blood Pressure Cuff,Home,in_person,scheduled,Measure seated blood pressure after 5 minutes rest,"Confirm dose, timing, and any meal requirement before taking it.","systolic, diastolic, resting_hr",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-27,11:00,11:20,ACT082,Mediterranean Lunch #082,Mediterranean Lunch #082,Food consumption,82,1,week,20,Self,Self,,Home,in_person,scheduled,"Vegetables, lean protein, olive oil, and whole grains",Prepare or order the meal according to the assigned nutrition guideline.,"calories, fiber_g, protein_g",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-27,11:30,11:40,ACT083,Vitamin D3 #083,Vitamin D3 #083,Medication consumption,83,1,week,10,Self,Self,,Home,in_person,scheduled,Take with fat-containing meal,"Confirm dose, timing, and any meal requirement before taking it.","dose_IU, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-27,11:45,11:55,ACT088,Magnesium Glycinate #088,Magnesium Glycinate #088,Medication consumption,88,1,week,10,Self,Self,,Home,in_person,scheduled,Take 60 minutes before bedtime,"Confirm dose, timing, and any meal requirement before taking it.","dose_mg, sleep_quality, adherence",Follow clinician-approved missed-dose guidance and log the missed dose.,Primary activity scheduled.
2026-06-27,14:00,14:30,ACT064,Breathwork,Breathwork #064,Therapy,64,1,week,30,Self,Self,,Home,in_person,backup_used,Box breathing or physiological sigh protocol,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, stress_score, HRV",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity unavailable. Used backup: Breathwork.
2026-06-27,14:30,15:00,ACT079,Breathwork,Sauna Session #079,Therapy,79,1,week,30,Self,Self,,Wellness Center,in_person,backup_used,15-20 minutes moderate heat exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, recovery_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity unavailable. Used backup: Breathwork.
2026-06-27,15:00,15:30,ACT089,Breathwork,Breathwork #089,Therapy,89,1,week,30,Self,Self,,Home,in_person,backup_used,Box breathing or physiological sigh protocol,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, stress_score, HRV",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity unavailable. Used backup: Breathwork.
2026-06-27,15:30,16:00,ACT094,Breathwork,Guided Meditation #094,Therapy,94,1,week,30,Self,Self,,Home,in_person,backup_used,Mindfulness session with body scan,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, mood_score, sleep_quality",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity unavailable. Used backup: Breathwork.
2026-06-27,16:00,16:45,ACT059,Cold Plunge #059,Cold Plunge #059,Therapy,59,1,week,45,Self,Self,Cold Plunge,Wellness Center,in_person,scheduled,2-3 minutes controlled cold exposure,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, temperature, stress_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-27,17:00,17:45,ACT021,Brisk Walk #021,Brisk Walk #021,Fitness routine / exercise,21,1,week,45,Fitness Trainer 1,Fitness Trainer,,Park,in_person,scheduled,Low-intensity walk after meals,"Wear appropriate training clothes, prepare water, and confirm recovery status.","steps, duration, glucose_response",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-27,17:45,18:30,ACT041,Eye Exercise #041,Eye Exercise #041,Fitness routine / exercise,41,1,week,45,Fitness Trainer 1,Fitness Trainer,,Home,in_person,scheduled,Near-far focus drill and 20-20-20 visual breaks,"Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, eye_strain_score",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,08:00,08:45,ACT066,Eye Exercise #066,Eye Exercise #066,Fitness routine / exercise,66,1,week,45,Fitness Trainer 1,Fitness Trainer,,Home,in_person,scheduled,Near-far focus drill and 20-20-20 visual breaks,"Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, eye_strain_score",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,08:45,09:30,ACT076,Zone 2 Run #076,Zone 2 Run #076,Fitness routine / exercise,76,1,week,45,Fitness Trainer 1,Fitness Trainer,Treadmill,Park,in_person,scheduled,Maintain heart rate between 120-140 bpm,"Wear appropriate training clothes, prepare water, and confirm recovery status.","heart_rate, duration, perceived_exertion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,09:30,10:30,ACT081,Strength Training #081,Strength Training #081,Fitness routine / exercise,81,1,week,60,Fitness Trainer 1,Fitness Trainer,"Dumbbells, Resistance Bands",Gym,in_person,scheduled,Full-body resistance session with controlled tempo,"Wear appropriate training clothes, prepare water, and confirm recovery status.","sets, reps, load, RPE",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,10:30,11:15,ACT086,Mobility Flow #086,Mobility Flow #086,Fitness routine / exercise,86,1,week,45,Fitness Trainer 1,Fitness Trainer,Yoga Mat,Home,in_person,scheduled,"Hip, ankle, thoracic spine, and shoulder mobility","Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, pain_score, range_of_motion",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,11:15,11:30,ACT091,Eye Exercise #091,Eye Exercise #091,Fitness routine / exercise,91,2,week,15,Fitness Trainer 1,Fitness Trainer,,Home,in_person,scheduled,Near-far focus drill and 20-20-20 visual breaks,"Wear appropriate training clothes, prepare water, and confirm recovery status.","duration, eye_strain_score",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,11:30,11:45,ACT096,Brisk Walk #096,Brisk Walk #096,Fitness routine / exercise,96,2,week,15,Fitness Trainer 1,Fitness Trainer,,Park,in_person,scheduled,Low-intensity walk after meals,"Wear appropriate training clothes, prepare water, and confirm recovery status.","steps, duration, glucose_response",Reschedule within the same week if possible; otherwise reduce next session intensity by 10%.,Primary activity scheduled.
2026-06-28,17:00,17:20,ACT097,Fermented Food Serving #097,Fermented Food Serving #097,Food consumption,97,1,week,20,Self,Self,,Home,in_person,scheduled,"Add yogurt, kimchi, kefir, or sauerkraut",Prepare or order the meal according to the assigned nutrition guideline.,"serving_size, GI_comfort_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
2026-06-28,17:30,18:15,ACT099,Recovery Stretch #099,Recovery Stretch #099,Therapy,99,1,week,45,Self,Self,Yoga Mat,Home,in_person,scheduled,Parasympathetic evening stretch routine,Confirm facility availability and avoid heavy meals immediately before the session.,"duration, muscle_tightness_score",Replace with breathwork or recovery stretch and avoid stacking intense recovery sessions next day.,Primary activity scheduled.
2026-06-29,06:00,06:20,ACT002,High-Protein Breakfast #002,High-Protein Breakfast #002,Food consumption,2,2,week,20,Self,Self,,Home,in_person,scheduled,Consume 30-40g protein within 2 hours of waking,Prepare or order the meal according to the assigned nutrition guideline.,"protein_g, calories, satiety_score",Return to the plan at the next meal and note the reason for deviation.,Primary activity scheduled.
